"Town","FIPS","Year","Year Submitted","Town Profile Year","Entry","Rank","Variable","Measure Type","Value"
"Andover","0901301080",2009,2010,2016,"Connecticut Light and Power Inc.",1,"Grand List Value","Number",3016520
"Andover","0901301080",2009,2010,2016,"Whispering Hills LLC",2,"Grand List Value","Number",887200
"Andover","0901301080",2009,2010,2016,"New Samaritan Housing Corp",3,"Grand List Value","Number",844400
"Andover","0901301080",2009,2010,2016,"B & B Realty Co",4,"Grand List Value","Number",828800
"Andover","0901301080",2009,2010,2016,"Martin Marshall",5,"Grand List Value","Number",789200
"Andover","0901301080",2009,2010,2016,"Hillside Self Storage Center",6,"Grand List Value","Number",695080
"Andover","0901301080",2009,2010,2016,"Post Ellen D Trustee",7,"Grand List Value","Number",520240
"Andover","0901301080",2009,2010,2016,"Andover Plaza",8,"Grand List Value","Number",499200
"Andover","0901301080",2009,2010,2016,"Algonquin Gas Transmission LLC",9,"Grand List Value","Number",484520
"Andover","0901301080",2009,2010,2016,"Slattery Beth Ann",10,"Grand List Value","Number",482600
"Andover","0901301080",2009,2010,2017,"Connecticut Light and Power Inc.",1,"Grand List Value","Number",3016520
"Andover","0901301080",2009,2010,2017,"Whispering Hills LLC",2,"Grand List Value","Number",887200
"Andover","0901301080",2009,2010,2017,"New Samaritan Housing Corp",3,"Grand List Value","Number",844400
"Andover","0901301080",2009,2010,2017,"B & B Realty Co",4,"Grand List Value","Number",828800
"Andover","0901301080",2009,2010,2017,"Martin Marshall",5,"Grand List Value","Number",789200
"Andover","0901301080",2009,2010,2017,"Hillside Self Storage Center",6,"Grand List Value","Number",695080
"Andover","0901301080",2009,2010,2017,"Post Ellen D Trustee",7,"Grand List Value","Number",520240
"Andover","0901301080",2009,2010,2017,"Andover Plaza",8,"Grand List Value","Number",499200
"Andover","0901301080",2009,2010,2017,"Algonquin Gas Transmission LLC",9,"Grand List Value","Number",484520
"Andover","0901301080",2009,2010,2017,"Slattery Beth Ann",10,"Grand List Value","Number",482600
"Andover","0901301080",2009,2010,2016,"Connecticut Light and Power Inc.",1,"Percent of Net Grand List","Percent",1.09
"Andover","0901301080",2009,2010,2016,"Whispering Hills LLC",2,"Percent of Net Grand List","Percent",0.32
"Andover","0901301080",2009,2010,2016,"New Samaritan Housing Corp",3,"Percent of Net Grand List","Percent",0.31
"Andover","0901301080",2009,2010,2016,"B & B Realty Co",4,"Percent of Net Grand List","Percent",0.3
"Andover","0901301080",2009,2010,2016,"Martin Marshall",5,"Percent of Net Grand List","Percent",0.29
"Andover","0901301080",2009,2010,2016,"Hillside Self Storage Center",6,"Percent of Net Grand List","Percent",0.25
"Andover","0901301080",2009,2010,2016,"Post Ellen D Trustee",7,"Percent of Net Grand List","Percent",0.19
"Andover","0901301080",2009,2010,2016,"Andover Plaza",8,"Percent of Net Grand List","Percent",0.18
"Andover","0901301080",2009,2010,2016,"Algonquin Gas Transmission LLC",9,"Percent of Net Grand List","Percent",0.18
"Andover","0901301080",2009,2010,2016,"Slattery Beth Ann",10,"Percent of Net Grand List","Percent",0.18
"Andover","0901301080",2009,2010,2017,"Connecticut Light and Power Inc.",1,"Percent of Net Grand List","Percent",1.09
"Andover","0901301080",2009,2010,2017,"Whispering Hills LLC",2,"Percent of Net Grand List","Percent",0.32
"Andover","0901301080",2009,2010,2017,"New Samaritan Housing Corp",3,"Percent of Net Grand List","Percent",0.31
"Andover","0901301080",2009,2010,2017,"B & B Realty Co",4,"Percent of Net Grand List","Percent",0.3
"Andover","0901301080",2009,2010,2017,"Martin Marshall",5,"Percent of Net Grand List","Percent",0.29
"Andover","0901301080",2009,2010,2017,"Hillside Self Storage Center",6,"Percent of Net Grand List","Percent",0.25
"Andover","0901301080",2009,2010,2017,"Post Ellen D Trustee",7,"Percent of Net Grand List","Percent",0.19
"Andover","0901301080",2009,2010,2017,"Andover Plaza",8,"Percent of Net Grand List","Percent",0.18
"Andover","0901301080",2009,2010,2017,"Algonquin Gas Transmission LLC",9,"Percent of Net Grand List","Percent",0.18
"Andover","0901301080",2009,2010,2017,"Slattery Beth Ann",10,"Percent of Net Grand List","Percent",0.18
"Andover","0901301080",2009,2010,2016,"Connecticut Light and Power Inc.",1,"Percent of Top 10 Total Grand List","Percent",33.34
"Andover","0901301080",2009,2010,2016,"Whispering Hills LLC",2,"Percent of Top 10 Total Grand List","Percent",9.81
"Andover","0901301080",2009,2010,2016,"New Samaritan Housing Corp",3,"Percent of Top 10 Total Grand List","Percent",9.33
"Andover","0901301080",2009,2010,2016,"B & B Realty Co",4,"Percent of Top 10 Total Grand List","Percent",9.16
"Andover","0901301080",2009,2010,2016,"Martin Marshall",5,"Percent of Top 10 Total Grand List","Percent",8.72
"Andover","0901301080",2009,2010,2016,"Hillside Self Storage Center",6,"Percent of Top 10 Total Grand List","Percent",7.68
"Andover","0901301080",2009,2010,2016,"Post Ellen D Trustee",7,"Percent of Top 10 Total Grand List","Percent",5.75
"Andover","0901301080",2009,2010,2016,"Andover Plaza",8,"Percent of Top 10 Total Grand List","Percent",5.52
"Andover","0901301080",2009,2010,2016,"Algonquin Gas Transmission LLC",9,"Percent of Top 10 Total Grand List","Percent",5.36
"Andover","0901301080",2009,2010,2016,"Slattery Beth Ann",10,"Percent of Top 10 Total Grand List","Percent",5.33
"Andover","0901301080",2009,2010,2017,"Connecticut Light and Power Inc.",1,"Percent of Top 10 Total Grand List","Percent",33.34
"Andover","0901301080",2009,2010,2017,"Whispering Hills LLC",2,"Percent of Top 10 Total Grand List","Percent",9.81
"Andover","0901301080",2009,2010,2017,"New Samaritan Housing Corp",3,"Percent of Top 10 Total Grand List","Percent",9.33
"Andover","0901301080",2009,2010,2017,"B & B Realty Co",4,"Percent of Top 10 Total Grand List","Percent",9.16
"Andover","0901301080",2009,2010,2017,"Martin Marshall",5,"Percent of Top 10 Total Grand List","Percent",8.72
"Andover","0901301080",2009,2010,2017,"Hillside Self Storage Center",6,"Percent of Top 10 Total Grand List","Percent",7.68
"Andover","0901301080",2009,2010,2017,"Post Ellen D Trustee",7,"Percent of Top 10 Total Grand List","Percent",5.75
"Andover","0901301080",2009,2010,2017,"Andover Plaza",8,"Percent of Top 10 Total Grand List","Percent",5.52
"Andover","0901301080",2009,2010,2017,"Algonquin Gas Transmission LLC",9,"Percent of Top 10 Total Grand List","Percent",5.36
"Andover","0901301080",2009,2010,2017,"Slattery Beth Ann",10,"Percent of Top 10 Total Grand List","Percent",5.33
"Andover","0901301080",2009,2010,2016,"Connecticut Light and Power Inc.",1,"Percent of Total Grand List","Percent",1.09
"Andover","0901301080",2009,2010,2016,"Whispering Hills LLC",2,"Percent of Total Grand List","Percent",0.32
"Andover","0901301080",2009,2010,2016,"New Samaritan Housing Corp",3,"Percent of Total Grand List","Percent",0.3
"Andover","0901301080",2009,2010,2016,"B & B Realty Co",4,"Percent of Total Grand List","Percent",0.3
"Andover","0901301080",2009,2010,2016,"Martin Marshall",5,"Percent of Total Grand List","Percent",0.28
"Andover","0901301080",2009,2010,2016,"Hillside Self Storage Center",6,"Percent of Total Grand List","Percent",0.25
"Andover","0901301080",2009,2010,2016,"Post Ellen D Trustee",7,"Percent of Total Grand List","Percent",0.19
"Andover","0901301080",2009,2010,2016,"Andover Plaza",8,"Percent of Total Grand List","Percent",0.18
"Andover","0901301080",2009,2010,2016,"Algonquin Gas Transmission LLC",9,"Percent of Total Grand List","Percent",0.17
"Andover","0901301080",2009,2010,2016,"Slattery Beth Ann",10,"Percent of Total Grand List","Percent",0.17
"Andover","0901301080",2009,2010,2017,"Connecticut Light and Power Inc.",1,"Percent of Total Grand List","Percent",1.09
"Andover","0901301080",2009,2010,2017,"Whispering Hills LLC",2,"Percent of Total Grand List","Percent",0.32
"Andover","0901301080",2009,2010,2017,"New Samaritan Housing Corp",3,"Percent of Total Grand List","Percent",0.3
"Andover","0901301080",2009,2010,2017,"B & B Realty Co",4,"Percent of Total Grand List","Percent",0.3
"Andover","0901301080",2009,2010,2017,"Martin Marshall",5,"Percent of Total Grand List","Percent",0.28
"Andover","0901301080",2009,2010,2017,"Hillside Self Storage Center",6,"Percent of Total Grand List","Percent",0.25
"Andover","0901301080",2009,2010,2017,"Post Ellen D Trustee",7,"Percent of Total Grand List","Percent",0.19
"Andover","0901301080",2009,2010,2017,"Andover Plaza",8,"Percent of Total Grand List","Percent",0.18
"Andover","0901301080",2009,2010,2017,"Algonquin Gas Transmission LLC",9,"Percent of Total Grand List","Percent",0.17
"Andover","0901301080",2009,2010,2017,"Slattery Beth Ann",10,"Percent of Total Grand List","Percent",0.17
"Ansonia","0900901220",2014,2015,2016,"United Illuminating Co.",1,"Grand List Value","Number",13051800
"Ansonia","0900901220",2014,2015,2016,"Target Corporation",2,"Grand List Value","Number",10318980
"Ansonia","0900901220",2014,2015,2016,"Ansonia Shopping Center LLC",3,"Grand List Value","Number",8601000
"Ansonia","0900901220",2014,2015,2016,"Yankee Gas Services Co",4,"Grand List Value","Number",8105280
"Ansonia","0900901220",2014,2015,2016,"Ansonia E & A LLC",5,"Grand List Value","Number",6511000
"Ansonia","0900901220",2014,2015,2016,"445 Beaver Brook  LLC",6,"Grand List Value","Number",4700300
"Ansonia","0900901220",2014,2015,2016,"Regional Water Authority",7,"Grand List Value","Number",4361140
"Ansonia","0900901220",2014,2015,2016,"Ansonia Copper & Brass",8,"Grand List Value","Number",4145020
"Ansonia","0900901220",2014,2015,2016,"Ansonia Riverview Apartments",9,"Grand List Value","Number",3755110
"Ansonia","0900901220",2014,2015,2016,"Meditrust of Connecticut",10,"Grand List Value","Number",3189500
"Ansonia","0900901220",2015,2017,2017,"United Illuminating Co.",1,"Grand List Value","Number",12416090
"Ansonia","0900901220",2015,2017,2017,"Ansonia Shopping Center LLC",2,"Grand List Value","Number",8601000
"Ansonia","0900901220",2015,2017,2017,"Target Corporation",3,"Grand List Value","Number",8249960
"Ansonia","0900901220",2015,2017,2017,"Yankee Gas Services Co",4,"Grand List Value","Number",8144430
"Ansonia","0900901220",2015,2017,2017,"Ansonia E & A LLC",5,"Grand List Value","Number",6511000
"Ansonia","0900901220",2015,2017,2017,"445 Beaver Brook  LLC",6,"Grand List Value","Number",4700300
"Ansonia","0900901220",2015,2017,2017,"Regional Water Authority",7,"Grand List Value","Number",4085090
"Ansonia","0900901220",2015,2017,2017,"Ansonia Copper & Brass",8,"Grand List Value","Number",4000313
"Ansonia","0900901220",2015,2017,2017,"Ansonia Riverview Apartments",9,"Grand List Value","Number",3572572
"Ansonia","0900901220",2015,2017,2017,"Nissan Infiniti LT",10,"Grand List Value","Number",3265960
"Ansonia","0900901220",2014,2015,2016,"United Illuminating Co.",1,"Percent of Net Grand List","Percent",1.46
"Ansonia","0900901220",2014,2015,2016,"Target Corporation",2,"Percent of Net Grand List","Percent",1.15
"Ansonia","0900901220",2014,2015,2016,"Ansonia Shopping Center LLC",3,"Percent of Net Grand List","Percent",0.96
"Ansonia","0900901220",2014,2015,2016,"Yankee Gas Services Co",4,"Percent of Net Grand List","Percent",0.91
"Ansonia","0900901220",2014,2015,2016,"Ansonia E & A LLC",5,"Percent of Net Grand List","Percent",0.73
"Ansonia","0900901220",2014,2015,2016,"445 Beaver Brook  LLC",6,"Percent of Net Grand List","Percent",0.53
"Ansonia","0900901220",2014,2015,2016,"Regional Water Authority",7,"Percent of Net Grand List","Percent",0.49
"Ansonia","0900901220",2014,2015,2016,"Ansonia Copper & Brass",8,"Percent of Net Grand List","Percent",0.46
"Ansonia","0900901220",2014,2015,2016,"Ansonia Riverview Apartments",9,"Percent of Net Grand List","Percent",0.42
"Ansonia","0900901220",2014,2015,2016,"Meditrust of Connecticut",10,"Percent of Net Grand List","Percent",0.36
"Ansonia","0900901220",2015,2017,2017,"United Illuminating Co.",1,"Percent of Net Grand List","Percent",-666666
"Ansonia","0900901220",2015,2017,2017,"Ansonia Shopping Center LLC",2,"Percent of Net Grand List","Percent",-666666
"Ansonia","0900901220",2015,2017,2017,"Target Corporation",3,"Percent of Net Grand List","Percent",-666666
"Ansonia","0900901220",2015,2017,2017,"Yankee Gas Services Co",4,"Percent of Net Grand List","Percent",-666666
"Ansonia","0900901220",2015,2017,2017,"Ansonia E & A LLC",5,"Percent of Net Grand List","Percent",-666666
"Ansonia","0900901220",2015,2017,2017,"445 Beaver Brook  LLC",6,"Percent of Net Grand List","Percent",-666666
"Ansonia","0900901220",2015,2017,2017,"Regional Water Authority",7,"Percent of Net Grand List","Percent",-666666
"Ansonia","0900901220",2015,2017,2017,"Ansonia Copper & Brass",8,"Percent of Net Grand List","Percent",-666666
"Ansonia","0900901220",2015,2017,2017,"Ansonia Riverview Apartments",9,"Percent of Net Grand List","Percent",-666666
"Ansonia","0900901220",2015,2017,2017,"Nissan Infiniti LT",10,"Percent of Net Grand List","Percent",-666666
"Ansonia","0900901220",2014,2015,2016,"United Illuminating Co.",1,"Percent of Top 10 Total Grand List","Percent",19.56
"Ansonia","0900901220",2014,2015,2016,"Target Corporation",2,"Percent of Top 10 Total Grand List","Percent",15.46
"Ansonia","0900901220",2014,2015,2016,"Ansonia Shopping Center LLC",3,"Percent of Top 10 Total Grand List","Percent",12.89
"Ansonia","0900901220",2014,2015,2016,"Yankee Gas Services Co",4,"Percent of Top 10 Total Grand List","Percent",12.14
"Ansonia","0900901220",2014,2015,2016,"Ansonia E & A LLC",5,"Percent of Top 10 Total Grand List","Percent",9.76
"Ansonia","0900901220",2014,2015,2016,"445 Beaver Brook  LLC",6,"Percent of Top 10 Total Grand List","Percent",7.04
"Ansonia","0900901220",2014,2015,2016,"Regional Water Authority",7,"Percent of Top 10 Total Grand List","Percent",6.53
"Ansonia","0900901220",2014,2015,2016,"Ansonia Copper & Brass",8,"Percent of Top 10 Total Grand List","Percent",6.21
"Ansonia","0900901220",2014,2015,2016,"Ansonia Riverview Apartments",9,"Percent of Top 10 Total Grand List","Percent",5.63
"Ansonia","0900901220",2014,2015,2016,"Meditrust of Connecticut",10,"Percent of Top 10 Total Grand List","Percent",4.78
"Ansonia","0900901220",2015,2017,2017,"United Illuminating Co.",1,"Percent of Top 10 Total Grand List","Percent",19.54
"Ansonia","0900901220",2015,2017,2017,"Ansonia Shopping Center LLC",2,"Percent of Top 10 Total Grand List","Percent",13.53
"Ansonia","0900901220",2015,2017,2017,"Target Corporation",3,"Percent of Top 10 Total Grand List","Percent",12.98
"Ansonia","0900901220",2015,2017,2017,"Yankee Gas Services Co",4,"Percent of Top 10 Total Grand List","Percent",12.82
"Ansonia","0900901220",2015,2017,2017,"Ansonia E & A LLC",5,"Percent of Top 10 Total Grand List","Percent",10.25
"Ansonia","0900901220",2015,2017,2017,"445 Beaver Brook  LLC",6,"Percent of Top 10 Total Grand List","Percent",7.4
"Ansonia","0900901220",2015,2017,2017,"Regional Water Authority",7,"Percent of Top 10 Total Grand List","Percent",6.43
"Ansonia","0900901220",2015,2017,2017,"Ansonia Copper & Brass",8,"Percent of Top 10 Total Grand List","Percent",6.3
"Ansonia","0900901220",2015,2017,2017,"Ansonia Riverview Apartments",9,"Percent of Top 10 Total Grand List","Percent",5.62
"Ansonia","0900901220",2015,2017,2017,"Nissan Infiniti LT",10,"Percent of Top 10 Total Grand List","Percent",5.14
"Ansonia","0900901220",2014,2015,2016,"United Illuminating Co.",1,"Percent of Total Grand List","Percent",1.27
"Ansonia","0900901220",2014,2015,2016,"Target Corporation",2,"Percent of Total Grand List","Percent",1
"Ansonia","0900901220",2014,2015,2016,"Ansonia Shopping Center LLC",3,"Percent of Total Grand List","Percent",0.84
"Ansonia","0900901220",2014,2015,2016,"Yankee Gas Services Co",4,"Percent of Total Grand List","Percent",0.79
"Ansonia","0900901220",2014,2015,2016,"Ansonia E & A LLC",5,"Percent of Total Grand List","Percent",0.63
"Ansonia","0900901220",2014,2015,2016,"445 Beaver Brook  LLC",6,"Percent of Total Grand List","Percent",0.46
"Ansonia","0900901220",2014,2015,2016,"Regional Water Authority",7,"Percent of Total Grand List","Percent",0.42
"Ansonia","0900901220",2014,2015,2016,"Ansonia Copper & Brass",8,"Percent of Total Grand List","Percent",0.4
"Ansonia","0900901220",2014,2015,2016,"Ansonia Riverview Apartments",9,"Percent of Total Grand List","Percent",0.37
"Ansonia","0900901220",2014,2015,2016,"Meditrust of Connecticut",10,"Percent of Total Grand List","Percent",0.31
"Ansonia","0900901220",2015,2017,2017,"United Illuminating Co.",1,"Percent of Total Grand List","Percent",-666666
"Ansonia","0900901220",2015,2017,2017,"Ansonia Shopping Center LLC",2,"Percent of Total Grand List","Percent",-666666
"Ansonia","0900901220",2015,2017,2017,"Target Corporation",3,"Percent of Total Grand List","Percent",-666666
"Ansonia","0900901220",2015,2017,2017,"Yankee Gas Services Co",4,"Percent of Total Grand List","Percent",-666666
"Ansonia","0900901220",2015,2017,2017,"Ansonia E & A LLC",5,"Percent of Total Grand List","Percent",-666666
"Ansonia","0900901220",2015,2017,2017,"445 Beaver Brook  LLC",6,"Percent of Total Grand List","Percent",-666666
"Ansonia","0900901220",2015,2017,2017,"Regional Water Authority",7,"Percent of Total Grand List","Percent",-666666
"Ansonia","0900901220",2015,2017,2017,"Ansonia Copper & Brass",8,"Percent of Total Grand List","Percent",-666666
"Ansonia","0900901220",2015,2017,2017,"Ansonia Riverview Apartments",9,"Percent of Total Grand List","Percent",-666666
"Ansonia","0900901220",2015,2017,2017,"Nissan Infiniti LT",10,"Percent of Total Grand List","Percent",-666666
"Ashford","0901501430",2014,2015,2016,"Connecticut Light and Power Inc.",1,"Grand List Value","Number",4158300
"Ashford","0901501430",2014,2015,2016,"Perryridge Investers",2,"Grand List Value","Number",2152340
"Ashford","0901501430",2014,2015,2016,"Birch Hill Investors LLC",3,"Grand List Value","Number",2033560
"Ashford","0901501430",2014,2015,2016,"Giulietti, James D",4,"Grand List Value","Number",1960000
"Ashford","0901501430",2014,2015,2016,"Specyalski, Brian D",5,"Grand List Value","Number",1393080
"Ashford","0901501430",2014,2015,2016,"Woodlawn Apartments LLC",6,"Grand List Value","Number",1378900
"Ashford","0901501430",2014,2015,2016,"Grove Corporation",7,"Grand List Value","Number",1136900
"Ashford","0901501430",2014,2015,2016,"Knowlton, Thomas E",8,"Grand List Value","Number",1086570
"Ashford","0901501430",2014,2015,2016,"AB Realty LLC",9,"Grand List Value","Number",1039400
"Ashford","0901501430",2014,2015,2016,"Mercier Normand & Denise",10,"Grand List Value","Number",978040
"Ashford","0901501430",2016,2017,2017,"Connecticut Light and Power Inc.",1,"Grand List Value","Number",5229160
"Ashford","0901501430",2016,2017,2017,"Perryridge Investers",2,"Grand List Value","Number",2114400
"Ashford","0901501430",2016,2017,2017,"Giulietti James D",3,"Grand List Value","Number",1961100
"Ashford","0901501430",2016,2017,2017,"Birch Hill Investors LLC",4,"Grand List Value","Number",1907400
"Ashford","0901501430",2016,2017,2017,"AB Realty LLC",5,"Grand List Value","Number",1606900
"Ashford","0901501430",2016,2017,2017,"Drake Petroleum Co Inc",6,"Grand List Value","Number",1335950
"Ashford","0901501430",2016,2017,2017,"Woodlawn Apartments",7,"Grand List Value","Number",1270400
"Ashford","0901501430",2016,2017,2017,"Mercier Normand & Denise",8,"Grand List Value","Number",1021890
"Ashford","0901501430",2016,2017,2017,"Knowlton Thomas E",9,"Grand List Value","Number",943530
"Ashford","0901501430",2016,2017,2017,"Specyalski Brian E",10,"Grand List Value","Number",932396
"Ashford","0901501430",2014,2015,2016,"Connecticut Light and Power Inc.",1,"Percent of Net Grand List","Percent",1.4
"Ashford","0901501430",2014,2015,2016,"Perryridge Investers",2,"Percent of Net Grand List","Percent",0.72
"Ashford","0901501430",2014,2015,2016,"Birch Hill Investors LLC",3,"Percent of Net Grand List","Percent",0.68
"Ashford","0901501430",2014,2015,2016,"Giulietti, James D",4,"Percent of Net Grand List","Percent",0.66
"Ashford","0901501430",2014,2015,2016,"Specyalski, Brian D",5,"Percent of Net Grand List","Percent",0.47
"Ashford","0901501430",2014,2015,2016,"Woodlawn Apartments LLC",6,"Percent of Net Grand List","Percent",0.46
"Ashford","0901501430",2014,2015,2016,"Grove Corporation",7,"Percent of Net Grand List","Percent",0.38
"Ashford","0901501430",2014,2015,2016,"Knowlton, Thomas E",8,"Percent of Net Grand List","Percent",0.36
"Ashford","0901501430",2014,2015,2016,"AB Realty LLC",9,"Percent of Net Grand List","Percent",0.35
"Ashford","0901501430",2014,2015,2016,"Mercier Normand & Denise",10,"Percent of Net Grand List","Percent",0.33
"Ashford","0901501430",2016,2017,2017,"Connecticut Light and Power Inc.",1,"Percent of Net Grand List","Percent",1.76
"Ashford","0901501430",2016,2017,2017,"Perryridge Investers",2,"Percent of Net Grand List","Percent",0.71
"Ashford","0901501430",2016,2017,2017,"Giulietti James D",3,"Percent of Net Grand List","Percent",0.66
"Ashford","0901501430",2016,2017,2017,"Birch Hill Investors LLC",4,"Percent of Net Grand List","Percent",0.64
"Ashford","0901501430",2016,2017,2017,"AB Realty LLC",5,"Percent of Net Grand List","Percent",0.54
"Ashford","0901501430",2016,2017,2017,"Drake Petroleum Co Inc",6,"Percent of Net Grand List","Percent",0.45
