"Town","FIPS","Year","Year Submitted","Town Profile Year","Entry","Rank","Variable","Measure Type","Value"
"Ashford","0901501430",2016,2017,2017,"Woodlawn Apartments",7,"Percent of Net Grand List","Percent",0.43
"Ashford","0901501430",2016,2017,2017,"Mercier Normand & Denise",8,"Percent of Net Grand List","Percent",0.34
"Ashford","0901501430",2016,2017,2017,"Knowlton Thomas E",9,"Percent of Net Grand List","Percent",0.32
"Ashford","0901501430",2016,2017,2017,"Specyalski Brian E",10,"Percent of Net Grand List","Percent",0.31
"Ashford","0901501430",2014,2015,2016,"Connecticut Light and Power Inc.",1,"Percent of Top 10 Total Grand List","Percent",24.01
"Ashford","0901501430",2014,2015,2016,"Perryridge Investers",2,"Percent of Top 10 Total Grand List","Percent",12.43
"Ashford","0901501430",2014,2015,2016,"Birch Hill Investors LLC",3,"Percent of Top 10 Total Grand List","Percent",11.74
"Ashford","0901501430",2014,2015,2016,"Giulietti, James D",4,"Percent of Top 10 Total Grand List","Percent",11.32
"Ashford","0901501430",2014,2015,2016,"Specyalski, Brian D",5,"Percent of Top 10 Total Grand List","Percent",8.04
"Ashford","0901501430",2014,2015,2016,"Woodlawn Apartments LLC",6,"Percent of Top 10 Total Grand List","Percent",7.96
"Ashford","0901501430",2014,2015,2016,"Grove Corporation",7,"Percent of Top 10 Total Grand List","Percent",6.57
"Ashford","0901501430",2014,2015,2016,"Knowlton, Thomas E",8,"Percent of Top 10 Total Grand List","Percent",6.27
"Ashford","0901501430",2014,2015,2016,"AB Realty LLC",9,"Percent of Top 10 Total Grand List","Percent",6
"Ashford","0901501430",2014,2015,2016,"Mercier Normand & Denise",10,"Percent of Top 10 Total Grand List","Percent",5.65
"Ashford","0901501430",2016,2017,2017,"Connecticut Light and Power Inc.",1,"Percent of Top 10 Total Grand List","Percent",28.54
"Ashford","0901501430",2016,2017,2017,"Perryridge Investers",2,"Percent of Top 10 Total Grand List","Percent",11.54
"Ashford","0901501430",2016,2017,2017,"Giulietti James D",3,"Percent of Top 10 Total Grand List","Percent",10.7
"Ashford","0901501430",2016,2017,2017,"Birch Hill Investors LLC",4,"Percent of Top 10 Total Grand List","Percent",10.41
"Ashford","0901501430",2016,2017,2017,"AB Realty LLC",5,"Percent of Top 10 Total Grand List","Percent",8.77
"Ashford","0901501430",2016,2017,2017,"Drake Petroleum Co Inc",6,"Percent of Top 10 Total Grand List","Percent",7.29
"Ashford","0901501430",2016,2017,2017,"Woodlawn Apartments",7,"Percent of Top 10 Total Grand List","Percent",6.93
"Ashford","0901501430",2016,2017,2017,"Mercier Normand & Denise",8,"Percent of Top 10 Total Grand List","Percent",5.58
"Ashford","0901501430",2016,2017,2017,"Knowlton Thomas E",9,"Percent of Top 10 Total Grand List","Percent",5.15
"Ashford","0901501430",2016,2017,2017,"Specyalski Brian E",10,"Percent of Top 10 Total Grand List","Percent",5.09
"Ashford","0901501430",2014,2015,2016,"Connecticut Light and Power Inc.",1,"Percent of Total Grand List","Percent",1.38
"Ashford","0901501430",2014,2015,2016,"Perryridge Investers",2,"Percent of Total Grand List","Percent",0.71
"Ashford","0901501430",2014,2015,2016,"Birch Hill Investors LLC",3,"Percent of Total Grand List","Percent",0.68
"Ashford","0901501430",2014,2015,2016,"Giulietti, James D",4,"Percent of Total Grand List","Percent",0.65
"Ashford","0901501430",2014,2015,2016,"Specyalski, Brian D",5,"Percent of Total Grand List","Percent",0.46
"Ashford","0901501430",2014,2015,2016,"Woodlawn Apartments LLC",6,"Percent of Total Grand List","Percent",0.46
"Ashford","0901501430",2014,2015,2016,"Grove Corporation",7,"Percent of Total Grand List","Percent",0.38
"Ashford","0901501430",2014,2015,2016,"Knowlton, Thomas E",8,"Percent of Total Grand List","Percent",0.36
"Ashford","0901501430",2014,2015,2016,"AB Realty LLC",9,"Percent of Total Grand List","Percent",0.35
"Ashford","0901501430",2014,2015,2016,"Mercier Normand & Denise",10,"Percent of Total Grand List","Percent",0.32
"Ashford","0901501430",2016,2017,2017,"Connecticut Light and Power Inc.",1,"Percent of Total Grand List","Percent",1.55
"Ashford","0901501430",2016,2017,2017,"Perryridge Investers",2,"Percent of Total Grand List","Percent",0.63
"Ashford","0901501430",2016,2017,2017,"Giulietti James D",3,"Percent of Total Grand List","Percent",0.58
"Ashford","0901501430",2016,2017,2017,"Birch Hill Investors LLC",4,"Percent of Total Grand List","Percent",0.56
"Ashford","0901501430",2016,2017,2017,"AB Realty LLC",5,"Percent of Total Grand List","Percent",0.48
"Ashford","0901501430",2016,2017,2017,"Drake Petroleum Co Inc",6,"Percent of Total Grand List","Percent",0.4
"Ashford","0901501430",2016,2017,2017,"Woodlawn Apartments",7,"Percent of Total Grand List","Percent",0.38
"Ashford","0901501430",2016,2017,2017,"Mercier Normand & Denise",8,"Percent of Total Grand List","Percent",0.3
"Ashford","0901501430",2016,2017,2017,"Knowlton Thomas E",9,"Percent of Total Grand List","Percent",0.28
"Ashford","0901501430",2016,2017,2017,"Specyalski Brian E",10,"Percent of Total Grand List","Percent",0.28
"Avon","0900302060",2014,2014,2016,"Connecticut Light and Power Inc.",1,"Grand List Value","Number",15669800
"Avon","0900302060",2014,2014,2016,"GAIA Avon Place LLC",2,"Grand List Value","Number",15287990
"Avon","0900302060",2014,2014,2016,"Avon Marketplace Investors",3,"Grand List Value","Number",14325490
"Avon","0900302060",2014,2014,2016,"Two Fifty Five West Main Street",4,"Grand List Value","Number",14052020
"Avon","0900302060",2014,2014,2016,"Sixty Four Avonwood Road Associates",5,"Grand List Value","Number",13674330
"Avon","0900302060",2014,2014,2016,"Nod Brook LLC",6,"Grand List Value","Number",12482220
"Avon","0900302060",2014,2014,2016,"Ensign-Bickford Realty Corp",7,"Grand List Value","Number",10754440
"Avon","0900302060",2014,2014,2016,"Toll CT",8,"Grand List Value","Number",10536210
"Avon","0900302060",2014,2014,2016,"Avon Water Co",9,"Grand List Value","Number",9836930
"Avon","0900302060",2014,2014,2016,"Brighenti Family Wellness Center",10,"Grand List Value","Number",9175050
"Avon","0900302060",2016,2017,2017,"Eversource",1,"Grand List Value","Number",17530150
"Avon","0900302060",2016,2017,2017,"GAIA Avon Place LLC",2,"Grand List Value","Number",15287990
"Avon","0900302060",2016,2017,2017,"Avon Marketplace Investors",3,"Grand List Value","Number",14325490
"Avon","0900302060",2016,2017,2017,"Two Fifty Five West Main Street",4,"Grand List Value","Number",14052020
"Avon","0900302060",2016,2017,2017,"Avon Mill LLC",5,"Grand List Value","Number",13674330
"Avon","0900302060",2016,2017,2017,"Nod Brook LLC",6,"Grand List Value","Number",12473540
"Avon","0900302060",2016,2017,2017,"Avon Water Co",7,"Grand List Value","Number",10146940
